==2967171== NVPROF is profiling process 2967171, command: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2967171== Profiling application: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2967171== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",53.307863,64.461855,1600,40.288000,14.880000,87.902000,"[CUDA memcpy DtoH]"
"GPU activities",32.271219,39.023561,800,48.779000,44.286000,66.046000,"[CUDA memcpy HtoD]"
"GPU activities",6.008100,7.265219,400,18.163000,17.247000,27.103000,"erosionKernel"
"GPU activities",5.803170,7.017410,400,17.543000,17.023000,32.447000,"dilationKernel"
"GPU activities",2.359658,2.853386,400,7.133000,5.856000,16.895000,"ConvertNV12BLtoNV12"
"GPU activities",0.188410,0.227833,68,3.350000,0.704000,10.943000,"[CUDA memset]"
"GPU activities",0.061579,0.074464,18,4.136000,2.816000,11.008000,"MemsetD2D_BL"
"API calls",36.710215,527.756717,2,263878.358000,262675.959000,265080.758000,"cuCtxCreate"
"API calls",27.148317,390.292098,1600,243.932000,147.782000,1666.082000,"cudaMemcpy"
"API calls",15.474112,222.460325,2,111230.162000,11.046000,222449.279000,"cudaMalloc"
"API calls",7.784324,111.909699,800,139.887000,64.277000,3356.206000,"cuMemcpy2DAsync"
"API calls",7.349168,105.653773,2,52826.886000,43672.012000,61981.761000,"cuCtxDestroy"
"API calls",2.067439,29.722107,800,37.152000,15.495000,108.889000,"cudaLaunchKernel"
"API calls",0.807256,11.605342,418,27.763000,7.002000,167.404000,"cuLaunchKernel"
"API calls",0.627642,9.023169,400,22.557000,13.213000,150.173000,"cuTexObjectCreate"
"API calls",0.505877,7.272635,61,119.223000,47.631000,679.682000,"cuMemFree"
"API calls",0.297048,4.270454,393,10.866000,1.863000,40.393000,"cuEventSynchronize"
"API calls",0.295510,4.248336,402,10.568000,5.894000,45.925000,"cuEventRecord"
"API calls",0.174319,2.506066,468,5.354000,2.201000,157.334000,"cuStreamSynchronize"
"API calls",0.112508,1.617448,68,23.786000,7.750000,88.772000,"cuMemsetD8Async"
"API calls",0.091696,1.318242,885,1.489000,0.252000,19.050000,"cuCtxPushCurrent"
"API calls",0.089010,1.279631,401,3.191000,1.940000,66.492000,"cuStreamQuery"
"API calls",0.076954,1.106320,1,1106.320000,1106.320000,1106.320000,"cuModuleLoadData"
"API calls",0.074999,1.078207,60,17.970000,13.692000,51.591000,"cuStreamCreate"
"API calls",0.068664,0.987138,59,16.731000,13.019000,78.183000,"cuStreamDestroy"
"API calls",0.041451,0.595912,886,0.672000,0.191000,13.906000,"cuCtxPopCurrent"
"API calls",0.040189,0.577770,400,1.444000,0.512000,53.026000,"cuTexObjectDestroy"
"API calls",0.033207,0.477393,1,477.393000,477.393000,477.393000,"cuModuleUnload"
"API calls",0.030778,0.442467,9,49.163000,17.602000,152.653000,"cuArrayDestroy"
"API calls",0.023183,0.333281,61,5.463000,3.969000,18.222000,"cuInit"
"API calls",0.022344,0.321219,229,1.402000,0.149000,103.959000,"cuDeviceGetAttribute"
"API calls",0.011179,0.160706,1,160.706000,160.706000,160.706000,"cuMemAllocPitch"
"API calls",0.009333,0.134180,122,1.099000,0.291000,28.540000,"cuCtxGetDevice"
"API calls",0.008447,0.121441,378,0.321000,0.152000,9.184000,"cuGetProcAddress"
"API calls",0.006315,0.090792,3,30.264000,23.485000,36.793000,"cuDeviceGetName"
"API calls",0.005217,0.074994,9,8.332000,3.422000,24.632000,"cuSurfObjectCreate"
"API calls",0.003182,0.045745,2,22.872000,20.199000,25.546000,"cuCtxSynchronize"
"API calls",0.001976,0.028412,33,0.860000,0.240000,17.934000,"cuModuleGetFunction"
"API calls",0.001861,0.026761,1,26.761000,26.761000,26.761000,"cuDeviceGetPCIBusId"
"API calls",0.001503,0.021614,59,0.366000,0.291000,0.684000,"cuCtxGetApiVersion"
"API calls",0.001381,0.019860,1,19.860000,19.860000,19.860000,"cuStreamDestroy"
"API calls",0.000921,0.013239,61,0.217000,0.152000,1.101000,"cuDriverGetVersion"
"API calls",0.000732,0.010522,16,0.657000,0.278000,5.241000,"cuEventCreate"
"API calls",0.000588,0.008459,9,0.939000,0.579000,2.708000,"cuSurfObjectDestroy"
"API calls",0.000453,0.006513,16,0.407000,0.246000,1.561000,"cuEventDestroy"
"API calls",0.000391,0.005622,6,0.937000,0.212000,3.050000,"cuDeviceGetCount"
"API calls",0.000181,0.002595,6,0.432000,0.173000,1.028000,"cuDeviceGet"
"API calls",0.000057,0.000814,1,0.814000,0.814000,0.814000,"cuDeviceTotalMem"
"API calls",0.000048,0.000696,1,0.696000,0.696000,0.696000,"cuModuleGetLoadingMode"
"API calls",0.000024,0.000351,1,0.351000,0.351000,0.351000,"cuDeviceGetUuid"
