==2972817== NVPROF is profiling process 2972817, command: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2972817== Profiling application: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2972817== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",72.101549,493.915299,400,1.234788,1.230366,1.256925,"kernel_dist_lab"
"GPU activities",14.155305,96.967703,2000,0.048483,0.013792,0.101853,"[CUDA memcpy DtoH]"
"GPU activities",11.233277,76.951013,1600,0.048094,0.044319,0.065566,"[CUDA memcpy HtoD]"
"GPU activities",1.029110,7.049687,400,0.017624,0.017023,0.026816,"erosionKernel"
"GPU activities",1.028720,7.047013,400,0.017617,0.017055,0.026239,"dilationKernel"
"GPU activities",0.409877,2.807770,400,0.007019,0.006304,0.015360,"ConvertNV12BLtoNV12"
"GPU activities",0.031036,0.212603,68,0.003126,0.000768,0.012096,"[CUDA memset]"
"GPU activities",0.011127,0.076220,18,0.004234,0.002912,0.013599,"MemsetD2D_BL"
"API calls",28.685328,674.514839,2800,0.240898,0.145923,0.621348,"cudaMemcpy"
"API calls",24.629254,579.139170,2,289.569585,272.848626,306.290544,"cuCtxCreate"
"API calls",22.233546,522.805824,400,1.307014,1.221609,1.381598,"cudaDeviceSynchronize"
"API calls",13.243953,311.422023,4,77.855505,0.012537,311.084208,"cudaMalloc"
"API calls",4.174424,98.158569,2,49.079284,48.114721,50.043848,"cuCtxDestroy"
"API calls",4.009860,94.288972,800,0.117861,0.056553,0.571837,"cuMemcpy2DAsync"
"API calls",1.199674,28.209482,1200,0.023507,0.013725,0.121366,"cudaLaunchKernel"
"API calls",0.385538,9.065659,418,0.021688,0.006762,0.080214,"cuLaunchKernel"
"API calls",0.311597,7.326975,61,0.120114,0.071312,0.177134,"cuMemFree"
"API calls",0.269702,6.341849,400,0.015854,0.009692,0.062453,"cuTexObjectCreate"
"API calls",0.139760,3.286364,402,0.008175,0.005006,0.042954,"cuEventRecord"
"API calls",0.123423,2.902206,393,0.007384,0.002211,0.031446,"cuEventSynchronize"
"API calls",0.084689,1.991395,885,0.002250,0.000260,0.907773,"cuCtxPushCurrent"
"API calls",0.077680,1.826599,68,0.026861,0.012633,0.084708,"cuMemsetD8Async"
"API calls",0.062776,1.476144,468,0.003154,0.001783,0.071698,"cuStreamSynchronize"
"API calls",0.059433,1.397524,60,0.023292,0.014150,0.119401,"cuStreamCreate"
"API calls",0.048690,1.144915,1,1.144915,1.144915,1.144915,"cuModuleLoadData"
"API calls",0.045949,1.080466,59,0.018312,0.013475,0.041480,"cuStreamDestroy"
"API calls",0.042629,1.002390,401,0.002499,0.001554,0.023303,"cuStreamQuery"
"API calls",0.036546,0.859357,1,0.859357,0.859357,0.859357,"cuModuleUnload"
"API calls",0.027720,0.651815,9,0.072423,0.027797,0.234095,"cuArrayDestroy"
"API calls",0.023966,0.563544,886,0.000636,0.000209,0.019310,"cuCtxPopCurrent"
"API calls",0.020213,0.475301,400,0.001188,0.000525,0.014875,"cuTexObjectDestroy"
"API calls",0.017042,0.400735,61,0.006569,0.004363,0.035906,"cuInit"
"API calls",0.013403,0.315162,229,0.001376,0.000149,0.102272,"cuDeviceGetAttribute"
"API calls",0.007681,0.180609,1,0.180609,0.180609,0.180609,"cuMemAllocPitch"
"API calls",0.005293,0.124457,378,0.000329,0.000177,0.004586,"cuGetProcAddress"
"API calls",0.004945,0.116276,122,0.000953,0.000297,0.002265,"cuCtxGetDevice"
"API calls",0.004511,0.106081,3,0.035360,0.024983,0.043156,"cuDeviceGetName"
"API calls",0.002498,0.058730,9,0.006525,0.003323,0.026488,"cuSurfObjectCreate"
"API calls",0.001970,0.046328,2,0.023164,0.011471,0.034857,"cuCtxSynchronize"
"API calls",0.001622,0.038132,33,0.001155,0.000280,0.013968,"cuModuleGetFunction"
"API calls",0.000969,0.022778,59,0.000386,0.000281,0.000922,"cuCtxGetApiVersion"
"API calls",0.000729,0.017138,1,0.017138,0.017138,0.017138,"cuStreamDestroy"
"API calls",0.000682,0.016041,61,0.000262,0.000167,0.001349,"cuDriverGetVersion"
"API calls",0.000492,0.011572,16,0.000723,0.000380,0.003258,"cuEventDestroy"
"API calls",0.000485,0.011400,1,0.011400,0.011400,0.011400,"cuDeviceGetPCIBusId"
"API calls",0.000437,0.010285,9,0.001142,0.000529,0.004249,"cuSurfObjectDestroy"
"API calls",0.000418,0.009825,16,0.000614,0.000323,0.004193,"cuEventCreate"
"API calls",0.000280,0.006594,6,0.001099,0.000264,0.002797,"cuDeviceGetCount"
"API calls",0.000111,0.002602,6,0.000433,0.000169,0.001240,"cuDeviceGet"
"API calls",0.000039,0.000906,1,0.000906,0.000906,0.000906,"cuDeviceTotalMem"
"API calls",0.000025,0.000592,1,0.000592,0.000592,0.000592,"cuModuleGetLoadingMode"
"API calls",0.000016,0.000376,1,0.000376,0.000376,0.000376,"cuDeviceGetUuid"
